TimeStamp, BettingHouse,League_Tournament, EventID, EventName, EventScore, EventTime, EventPeriod, OddsLocal, OddsDraw, OddsVisitor
Sat Oct 09 17:19:25 -0500 2021,WPlay,Américas - Colombia - Primera A,251820500,Deportivo Cali - La Equidad,1-1,59:30,Segunda Mitad,2.40,1.95,7.00
Sat Oct 09 17:19:25 -0500 2021,WPlay,Américas - Colombia - Primera B,252354503,Union Magdalena - Atletico de Cali,3-3,84:00,Segunda Mitad,5.75,1.35,6.00
Sat Oct 09 17:19:25 -0500 2021,WPlay,Américas - Argentina - Liga Profesional de Fútbol,251905019,Banfield - River Plate,0-1,62:12,Segunda Mitad,13.00,4.00,1.333
Sat Oct 09 17:19:25 -0500 2021,WPlay,Américas - Brasil - Serie A,249192932,Fortaleza CE - Flamengo RJ,0-0,17:37,1ª Mitad,3.60,2.875,2.25
Sat Oct 09 17:19:25 -0500 2021,WPlay,Américas - Brasil - Serie A,250759052,Atletico PR - Bahia BA,0-0,18:29,1ª Mitad,1.90,3.10,4.50
Sat Oct 09 17:19:25 -0500 2021,WPlay,Américas - Chile - Primera División,250220655,Antofagasta - Melipilla,0-0,56:34,Segunda Mitad,2.375,2.10,5.25
Sat Oct 09 17:19:25 -0500 2021,WPlay,Fútbol Mujeres - Mexico - Liga MX Femenil,250541801,Toluca (W) - Santos Laguna (W),1-0,60:41,Segunda Mitad,1.48,3.40,8.50
Sat Oct 09 17:19:25 -0500 2021,WPlay,Américas - Brasil - Serie B,251907233,EC Vitória - Confianca SE,0-1,17:37,1ª Mitad,3.90,3.10,2.00
Sat Oct 09 17:19:25 -0500 2021,WPlay,Américas - EE.UU - MLS,249590590,New York Red Bulls - Inter Miami CF,0-0,10:20,1ª Mitad,1.50,3.80,7.00
Sat Oct 09 17:19:25 -0500 2021,WPlay,Américas - Uruguay - Primera División,252626204,Montevideo Wanderers - Torque,0-1,72:57,Segunda Mitad,19.00,4.20,1.25
Sat Oct 09 17:19:25 -0500 2021,WPlay,Américas - Venezuela - Primera División,251757086,Carabobo FC - Yaracuyanos FC,0-0,0:50,1ª Mitad,2.35,3.00,2.90
Sat Oct 09 17:19:25 -0500 2021,WPlay,Américas - Brasil - Serie C,253234909,Novorizontino SP - Ypiranga RS,0-0,17:35,1ª Mitad,2.05,2.70,4.20
Sat Oct 09 17:19:25 -0500 2021,WPlay,Américas - Brazil - Serie D,252821121,America RN - Campinense PB,0-0,85:24,Segunda Mitad,6.25,1.20,7.50
